,Home_code,Away_code,Venue_code,Matchweek,Season,HomeFullPoint,AwayFullPoint,HomeGoal,AwayGoal,HomeConceded,AwayConceded,pastHP,pastAP,pastHG,pastAG,pastHGC,pastAGC,HomeAvgPoint,AwayAvgPoint
145,27,9,27,15,2016,18.0,20.0,18.0,17.0,24.0,16.0,1.0,1.0,1.0,1.0,4.0,2.0,1.2857142857142858,1.4285714285714286
146,7,28,7,15,2016,34.0,20.0,32.0,20.0,11.0,17.0,4.0,4.0,5.0,4.0,2.0,2.0,2.4285714285714284,1.4285714285714286
147,15,29,15,15,2016,30.0,12.0,35.0,15.0,18.0,29.0,1.0,1.0,5.0,2.0,4.0,6.0,2.142857142857143,0.8571428571428571
148,17,26,17,15,2016,21.0,27.0,19.0,24.0,16.0,10.0,3.0,3.0,2.0,6.0,2.0,2.0,1.5,1.9285714285714288
149,22,18,22,15,2016,17.0,15.0,13.0,13.0,15.0,15.0,4.0,4.0,1.0,3.0,3.0,2.0,1.2142857142857142,1.0714285714285714
150,2,14,2,16,2016,18.0,16.0,21.0,21.0,25.0,26.0,3.0,3.0,6.0,5.0,6.0,4.0,1.2,1.0666666666666669
151,9,0,9,16,2016,20.0,34.0,19.0,36.0,19.0,15.0,6.0,6.0,3.0,8.0,4.0,2.0,1.3333333333333333,2.2666666666666666
152,8,17,8,16,2016,15.0,24.0,27.0,20.0,29.0,16.0,4.0,4.0,6.0,2.0,3.0,1.0,1.0,1.6
153,16,27,16,16,2016,30.0,21.0,32.0,21.0,19.0,26.0,3.0,3.0,3.0,4.0,7.0,5.0,2.0,1.4
154,18,15,18,16,2016,15.0,31.0,13.0,37.0,16.0,20.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.066666666666667
155,23,22,23,16,2016,19.0,20.0,17.0,14.0,22.0,15.0,3.0,3.0,3.0,1.0,3.0,3.0,1.2666666666666666,1.3333333333333333
156,24,7,24,16,2016,11.0,37.0,14.0,33.0,27.0,11.0,6.0,6.0,2.0,4.0,4.0,1.0,0.7333333333333333,2.466666666666667
157,26,12,26,16,2016,27.0,12.0,24.0,14.0,11.0,32.0,1.0,1.0,5.0,3.0,1.0,4.0,1.8,0.8
158,28,25,28,16,2016,20.0,12.0,20.0,19.0,18.0,31.0,3.0,3.0,3.0,3.0,2.0,5.0,1.3333333333333333,0.8
159,29,5,29,16,2016,13.0,17.0,17.0,15.0,31.0,25.0,3.0,3.0,3.0,3.0,7.0,4.0,0.8666666666666667,1.1333333333333333
160,8,7,8,17,2016,15.0,40.0,28.0,34.0,31.0,11.0,6.0,6.0,4.0,2.0,5.0,0.0,0.9375,2.5
161,18,25,18,17,2016,15.0,12.0,13.0,20.0,19.0,34.0,3.0,3.0,0.0,4.0,4.0,3.0,0.9375,0.75
162,23,14,23,17,2016,20.0,16.0,17.0,21.0,22.0,27.0,3.0,3.0,1.0,4.0,3.0,3.0,1.25,1.0
163,24,27,24,17,2016,11.0,21.0,14.0,21.0,28.0,28.0,3.0,3.0,0.0,3.0,4.0,4.0,0.6875,1.3125
164,28,17,28,17,2016,23.0,27.0,23.0,22.0,19.0,17.0,6.0,6.0,3.0,3.0,2.0,1.0,1.4375,1.6875
165,29,12,29,17,2016,16.0,12.0,18.0,14.0,31.0,35.0,1.0,1.0,3.0,3.0,2.0,6.0,1.0,0.75
166,2,22,2,17,2016,21.0,21.0,22.0,14.0,25.0,15.0,4.0,4.0,3.0,1.0,3.0,0.0,1.3125,1.3125
167,16,0,16,17,2016,33.0,34.0,34.0,37.0,19.0,17.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0625,2.125
168,26,5,26,17,2016,30.0,17.0,27.0,15.0,11.0,26.0,3.0,3.0,3.0,3.0,1.0,3.0,1.875,1.0625
169,9,15,9,17,2016,23.0,34.0,21.0,40.0,20.0,20.0,4.0,4.0,4.0,5.0,4.0,2.0,1.4375,2.125
170,0,28,0,18,2016,34.0,23.0,38.0,23.0,19.0,21.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,1.3529411764705883
171,5,18,5,18,2016,17.0,18.0,16.0,16.0,28.0,19.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0588235294117647
172,7,2,7,18,2016,43.0,21.0,35.0,23.0,11.0,28.0,3.0,3.0,2.0,2.0,0.0,3.0,2.5294117647058822,1.2352941176470589
173,12,16,12,18,2016,12.0,36.0,14.0,36.0,36.0,20.0,6.0,6.0,0.0,4.0,4.0,1.0,0.7058823529411765,2.117647058823529
174,14,9,14,18,2016,17.0,23.0,23.0,21.0,29.0,21.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.3529411764705883
175,17,24,17,18,2016,30.0,14.0,24.0,15.0,17.0,28.0,3.0,3.0,4.0,1.0,1.0,1.0,1.7647058823529411,0.8235294117647058
176,25,29,25,18,2016,12.0,19.0,20.0,19.0,37.0,31.0,6.0,6.0,1.0,2.0,6.0,0.0,0.7058823529411765,1.1176470588235294
177,27,8,27,18,2016,21.0,15.0,21.0,28.0,29.0,32.0,0.0,0.0,0.0,1.0,3.0,3.0,1.2352941176470589,0.8823529411764706
178,15,23,15,18,2016,37.0,21.0,41.0,19.0,20.0,24.0,2.0,2.0,4.0,2.0,0.0,2.0,2.176470588235294,1.2352941176470589
179,22,26,22,18,2016,24.0,33.0,17.0,29.0,16.0,12.0,6.0,6.0,3.0,5.0,1.0,1.0,1.411764705882353,1.9411764705882355
180,12,9,12,19,2016,12.0,26.0,14.0,23.0,39.0,21.0,3.0,3.0,0.0,2.0,4.0,1.0,0.6666666666666666,1.4444444444444444
181,5,24,5,19,2016,20.0,14.0,17.0,16.0,28.0,31.0,3.0,3.0,2.0,2.0,2.0,3.0,1.1111111111111112,0.7777777777777778
182,7,23,7,19,2016,46.0,21.0,38.0,20.0,11.0,28.0,1.0,1.0,4.0,3.0,0.0,6.0,2.555555555555556,1.1666666666666667
